1,Sherrod Brown,sen,OH,Democrat,SenSherrodBrown
2,Maria Cantwell,sen,WA,Democrat,SenatorCantwell
3,Benjamin L. Cardin,sen,MD,Democrat,SenatorCardin
4,Thomas R. Carper,sen,DE,Democrat,SenatorCarper
5,"Robert P. Casey, Jr.",sen,PA,Democrat,SenBobCasey
6,Dianne Feinstein,sen,CA,Democrat,SenFeinstein
7,Amy Klobuchar,sen,MN,Democrat,SenAmyKlobuchar
8,Robert Menendez,sen,NJ,Democrat,SenatorMenendez
9,Bernard Sanders,sen,VT,Independent,SenSanders
10,Debbie Stabenow,sen,MI,Democrat,SenStabenow
11,Jon Tester,sen,MT,Democrat,SenatorTester
12,Sheldon Whitehouse,sen,RI,Democrat,SenWhitehouse
13,John Barrasso,sen,WY,Republican,SenJohnBarrasso
14,Roger F. Wicker,sen,MS,Republican,SenatorWicker
15,Susan M. Collins,sen,ME,Republican,SenatorCollins
16,John Cornyn,sen,TX,Republican,JohnCornyn
17,Richard J. Durbin,sen,IL,Democrat,SenatorDurbin
18,Lindsey Graham,sen,SC,Republican,GrahamBlog
19,James M. Inhofe,sen,OK,Republican,InhofePress
20,Mitch McConnell,sen,KY,Republican,McConnellPress
21,Jeff Merkley,sen,OR,Democrat,SenJeffMerkley
22,Jack Reed,sen,RI,Democrat,SenJackReed
23,James E. Risch,sen,ID,Republican,SenatorRisch
24,Jeanne Shaheen,sen,NH,Democrat,SenatorShaheen
25,Mark R. Warner,sen,VA,Democrat,MarkWarner
26,Kirsten E. Gillibrand,sen,NY,Democrat,GillibrandNY
27,Christopher A. Coons,sen,DE,Democrat,ChrisCoons
28,"Joe Manchin, III",sen,WV,Democrat,Sen_JoeManchin
29,Robert B. Aderholt,rep,AL,Republican,Robert_Aderholt
30,Tammy Baldwin,sen,WI,Democrat,SenatorBaldwin
31,Karen Bass,rep,CA,Democrat,RepKarenBass
32,Michael F. Bennet,sen,CO,Democrat,SenatorBennet
33,Gus M. Bilirakis,rep,FL,Republican,RepGusBilirakis
34,"Sanford D. Bishop, Jr.",rep,GA,Democrat,SanfordBishop
35,Marsha Blackburn,sen,TN,Republican,MarshaBlackburn
36,Earl Blumenauer,rep,OR,Democrat,BlumenauerMedia
37,Richard Blumenthal,sen,CT,Democrat,SenBlumenthal
38,Roy Blunt,sen,MO,Republican,RoyBlunt
39,John Boozman,sen,AR,Republican,JohnBoozman
40,Kevin Brady,rep,TX,Republican,RepKevinBrady
41,Mo Brooks,rep,AL,Republican,RepMoBrooks
42,Vern Buchanan,rep,FL,Republican,VernBuchanan
43,Larry Bucshon,rep,IN,Republican,RepLarryBucshon
44,Michael C. Burgess,rep,TX,Republican,MichaelCBurgess
